videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
YoZGaZ4oCXI,"Tricking toxic Rocket League players into 1v1ing a Pro (episode 2)",2020-08-05,Long Form,12M33S,undefined,3325157,85997,3286
ndg1A7Hbt8o,"Playing in every rank from BRONZE to PRO level in one day",2020-08-01,Long Form,14M6S,undefined,14288226,218489,14071
NIMcgpGciiE,"Girls Guess Rocket League Ranks",2020-07-25,Long Form,13M44S,undefined,2651773,75459,18290
FmZyiJuQkMQ,"We used a strategy in Rocket League that made ALL our opponents rage",2020-07-18,Long Form,9M46S,undefined,1758205,61844,4435
nhV_5kd8oyw,"We challenged the best Rocket League freestylers to battle like Pokemon",2020-07-11,Long Form,12M20S,undefined,5192737,118612,3885
eIU7cOtMUk0,"Meet the creators of Rocket League...",2020-07-04,Long Form,9M22S,undefined,1306071,50610,2977
ogJ9PZsOlL0,"Pros vs Golds but the Golds have aimbot...",2020-06-30,Long Form,16M5S,undefined,5649513,129271,4327
bFA-RRewYZU,"The oldest version of Rocket League (with a pro this time)",2020-06-24,Long Form,10M6S,undefined,4653419,119977,2498
jtXw0VnW9l4,"We made a real AIMBOT in Rocket League and challenged a pro to 1v1...",2020-06-18,Long Form,14M38S,undefined,17952489,291640,6635
5n1skYsaM30,"I played with random Rocket League players until I found a new teammate",2020-06-14,Long Form,15M38S,undefined,1818109,46574,1539
Ao_EvXsDzY8,"I recorded every toxic player in Rocket League month 2!",2020-06-06,Long Form,15M14S,undefined,4018295,104269,6316
IVFYnLsxbgM,"Youtube Commenters vs the Diamond player they roasted",2020-05-30,Long Form,11M18S,undefined,7383737,144637,37992
gdgDeqsLhXo,"How fluump made me worse at Rocket League",2020-05-23,Long Form,15M,undefined,1382726,44430,1659
aeZIjncLWXg,"I tricked toxic players into 1v1ing against a pro",2020-05-16,Long Form,13M50S,undefined,11715664,218761,7917
i2hmIAfuv0o,"My greatest battle with another Rocket League youtuber...",2020-05-09,Long Form,11M23S,undefined,1217471,39061,2375
NlDWFV9OBPo,"Rocket League pros still trying to guess ranks",2020-05-04,Long Form,14M36S,undefined,2942029,72329,9866
zoufR79In6U,"The Longest Game in Rocket League History",2020-04-28,Long Form,18M18S,undefined,13057707,266447,5333
-5wHfeVbiNo,"I recorded every toxic player in Rocket League for a month. Here's what happened...",2020-04-22,Long Form,13M43S,undefined,3113583,75081,6202
b1uHDk_333Y,"We challenged a pro Rocket League team (top 3 in the world) and it didn't go terribly...",2020-04-15,Long Form,10M33S,undefined,1025813,32858,1195
5elR62lsPYc,"I gave a PC to a console Rocket League player. This is what happened...",2020-04-10,Long Form,15M26S,undefined,5418471,117764,6826
UjX1svdGNCk,"What happens if you play your placement matches with Rocket League pro players?",2020-04-04,Long Form,11M8S,undefined,1764061,48799,2971
zfAlnIJikH4,"How fast can a pro Rocket League player shoot?",2020-03-31,Long Form,10M14S,undefined,1300281,39068,4563
muaEtduuk9w,"I challenged the biggest Rocket League Youtuber in the world to a 1v1...",2020-03-26,Long Form,13M18S,undefined,1042691,30245,1167
ZyeffNVXuSw,"1 Pro vs 7 Golds (Impossible Rocket League Challenge)",2020-03-22,Long Form,12M17S,undefined,9698918,191388,7621
T4SapzcoVoE,"Rocket League Mafia but I secretly made everyone the mafia...",2020-03-18,Long Form,8M13S,undefined,1244921,45349,1674
r4Ct-zsNVH8,"My wife wanted to play Rocket League again...",2020-03-11,Long Form,12M1S,undefined,1289908,36812,1903
GQ-SJ2q2vjg,"We hired Rocket League coaches on Fiverr and then challenged them...",2020-03-04,Long Form,15M21S,undefined,1931472,54590,1867
9TDB39BrVOM,"Rocket League Stereotypes 3",2020-02-26,Long Form,8M34S,undefined,4780891,103607,4346
-3aVf_LilUc,"I challenged Musty to a new Rocket League game we invented (and it's actually fun)",2020-02-20,Long Form,15M33S,undefined,2584128,57648,2149
uAJLZV47jUw,"I got cocky and challenged a Rocket League freestyler",2020-02-15,Long Form,14M46S,undefined,2825969,76095,1950
F4NA1_GJhOE,"Me vs Musty but we have to find teammates without knowing their rank...",2020-02-08,Long Form,17M58S,undefined,3066082,78263,1978
HGYChaMZ-Cs,"Rocket League pros try to guess ranks again",2020-02-01,Long Form,17M23S,undefined,5742320,96621,4368
lNQbIjJVeKE,"I tried getting carried into RLCS by a pro (and we actually made it into play-ins)",2020-01-27,Long Form,19M50S,undefined,5021755,120100,4278
vmwvEY0SoF8,"Meet the oldest Grand Champion in Rocket League...",2020-01-22,Long Form,10M18S,undefined,3471119,75113,4149
NedMgsn_Wz0,"Why there are more demos than ever in Rocket League",2020-01-18,Long Form,7M54S,undefined,659505,24992,1280
w-XkOtyeVXQ,"Why you suck at Rocket League...",2020-01-13,Long Form,10M13S,undefined,869453,39661,2359
7kjH6xIPRyY,"Rocket League Mafia 2",2020-01-08,Long Form,11M35S,undefined,2169672,70532,2113
hW0l7oXej7I,"I hired 5 different Rocket League coaches and gave them all the same replay...",2020-01-04,Long Form,13M,undefined,738209,25215,1576
zXesWBvaL-s,"I challenged Rocket League players and made them rage",2019-12-27,Long Form,14M7S,undefined,3646150,68993,1509
0YhBnTbMlog,"The true story behind GarrettG",2019-12-21,Long Form,14M57S,undefined,2795987,80422,3368
i-G7zQSMJqo,"Meet the youngest Grand Champion in the world...",2019-12-13,Long Form,12M6S,undefined,6380460,121548,4820
CDWIJ6hsWwA,"Have Rocket League mods gone too far?",2019-12-09,Long Form,8M38S,undefined,938955,27396,724
NYSunfgciuY,"Two players get in a fight in Rocket League, a breakdown",2019-12-04,Long Form,5M7S,undefined,1156999,34870,1677
te9D0nezfDc,"The Rocket League Social Experiment",2019-11-30,Long Form,13M25S,undefined,1501734,42477,1329
Dh0b_V35jjc,"Twitch Chat Guesses the Rocket League Rank",2019-11-25,Long Form,12M40S,undefined,950335,26065,1035
G6fbVgsS8FM,"Rocket League Stereotypes 2",2019-11-20,Long Form,8M16S,undefined,5533234,96112,5442
ckFbgcLMVLc,"3 Levels of Rocket League (Best mechanics of 2019)",2019-11-13,Long Form,14M23S,undefined,3082250,53792,4199
DuV2SGAZaig,"The art of the double tap",2019-11-06,Long Form,11M17S,undefined,910574,39442,1786
dVa734ROmCM,"More Rocket League Experiments",2019-10-31,Long Form,10M24S,undefined,337334,10940,732
GD2wC9QG7As,"Learning 10 New Rocket League Skills from EASY to IMPOSSIBLE",2019-10-25,Long Form,10M53S,undefined,4581382,134656,2521
ynUjUTGUgpY,"I went to Europe to play Rocket League on EU servers",2019-10-21,Long Form,9M36S,undefined,884996,31389,1875
Fks2IGP5xvE,"Youtubers try to Guess Rocket League Ranks",2019-10-10,Long Form,12M10S,undefined,3427120,49686,3659
